2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 3.36773e-05
8.58820e-04 4.52415e-03 1.77352e-04
8.58820e-04 1.11146e-02 4.34994e-04
8.58820e-04 2.06252e-02 8.03356e-04
8.58820e-04 3.30468e-02 1.27362e-03
8.58820e-04 4.83674e-02 1.82735e-03
8.58820e-04 6.65719e-02 2.43207e-03
8.58820e-04 8.76427e-02 3.03749e-03
8.58820e-04 1.11559e-01 3.57441e-03
8.58820e-04 1.38298e-01 3.95852e-03
8.58820e-04 1.67832e-01 4.10118e-03
8.58820e-04 2.00134e-01 3.92832e-03
8.58820e-04 2.35172e-01 3.40533e-03
8.58820e-04 2.72911e-01 2.56175e-03
8.58820e-04 3.13315e-01 1.50530e-03
8.58820e-04 3.56344e-01 4.13200e-04
8.58820e-04 4.01956e-01 -5.06986e-04
8.58820e-04 4.50106e-01 -1.08230e-03
8.58820e-04 5.00748e-01 -1.24360e-03
8.58820e-04 5.53832e-01 -1.06408e-03
8.58820e-04 6.09306e-01 -7.35910e-04
8.58820e-04 6.67116e-01 -4.81074e-04
8.58820e-04 7.27206e-01 -4.35942e-04
8.58820e-04 7.89516e-01 -5.79714e-04
8.58820e-04 8.53986e-01 -7.62990e-04
8.58820e-04 9.20552e-01 -8.26846e-04
8.58820e-04 9.89151e-01 -7.26411e-04
8.58820e-04 1.05971e+00 -5.56143e-04
8.58820e-04 1.13217e+00 -4.51779e-04
8.58820e-04 1.20646e+00 -4.60306e-04
8.58820e-04 1.28249e+00 -5.06974e-04
8.58820e-04 1.36021e+00 -4.90254e-04
8.58820e-04 1.43953e+00 -3.94966e-04
8.58820e-04 1.52037e+00 -2.94734e-04
8.58820e-04 1.60266e+00 -2.51638e-04
8.58820e-04 1.68631e+00 -2.46436e-04
8.58820e-04 1.77124e+00 -2.21546e-04
8.58820e-04 1.85738e+00 -1.63044e-04
8.58820e-04 1.94463e+00 -1.07365e-04
8.58820e-04 2.03292e+00 -8.05936e-05
8.58820e-04 2.12215e+00 -6.88371e-05
8.58820e-04 2.21224e+00 -5.08979e-05
8.58820e-04 2.30309e+00 -2.87211e-05
8.58820e-04 2.39463e+00 -1.46203e-05
8.58820e-04 2.48676e+00 -9.69120e-06
8.58820e-04 2.57939e+00 -6.90233e-06
8.58820e-04 2.67243e+00 -3.42586e-06
8.58820e-04 2.76579e+00 -1.00366e-06
8.58820e-04 2.85938e+00 -3.11198e-07
8.58820e-04 2.95311e+00 -2.55093e-07
8.58820e-04 3.04689e+00 -1.34671e-07
8.58820e-04 3.14062e+00 -1.30096e-08
8.58820e-04 3.23421e+00 1.43908e-08
8.58820e-04 3.32757e+00 3.31907e-09
8.58820e-04 3.42061e+00 -1.17390e-09
8.58820e-04 3.51324e+00 -9.76149e-11
8.58820e-04 3.60537e+00 3.47788e-10
8.58820e-04 3.69691e+00 1.22464e-10
8.58820e-04 3.78776e+00 3.36967e-12
8.58820e-04 3.87785e+00 -4.01223e-12
8.58820e-04 3.96708e+00 -2.14223e-13
8.58820e-04 4.05537e+00 -7.75620e-14
8.58820e-04 4.14262e+00 -8.75166e-14
8.58820e-04 4.22876e+00 -4.85053e-15
8.58820e-04 4.31369e+00 4.93967e-15
8.58820e-04 4.39734e+00 2.61297e-15
8.58820e-04 4.47963e+00 1.86745e-15
8.58820e-04 4.56047e+00 9.19608e-16
4.52415e-03 8.58820e-04 1.77352e-04
4.52415e-03 4.52415e-03 9.33975e-04
4.52415e-03 1.11146e-02 2.29078e-03
4.52415e-03 2.06252e-02 4.23065e-03
4.52415e-03 3.30468e-02 6.70715e-03
4.52415e-03 4.83674e-02 9.62326e-03
4.52415e-03 6.65719e-02 1.28078e-02
4.52415e-03 8.76427e-02 1.59961e-02
4.52415e-03 1.11559e-01 1.88237e-02
4.52415e-03 1.38298e-01 2.08466e-02
4.52415e-03 1.67832e-01 2.15980e-02
4.52415e-03 2.00134e-01 2.06878e-02
4.52415e-03 2.35172e-01 1.79337e-02
4.52415e-03 2.72911e-01 1.34913e-02
4.52415e-03 3.13315e-01 7.92784e-03
4.52415e-03 3.56344e-01 2.17649e-03
4.52415e-03 4.01956e-01 -2.66966e-03
4.52415e-03 4.50106e-01 -5.69979e-03
4.52415e-03 5.00748e-01 -6.54966e-03
4.52415e-03 5.53832e-01 -5.60470e-03
4.52415e-03 6.09306e-01 -3.87675e-03
4.52415e-03 6.67116e-01 -2.53482e-03
4.52415e-03 7.27206e-01 -2.29706e-03
4.52415e-03 7.89516e-01 -3.05403e-03
4.52415e-03 8.53986e-01 -4.01906e-03
4.52415e-03 9.20552e-01 -4.35530e-03
4.52415e-03 9.89151e-01 -3.82644e-03
4.52415e-03 1.05971e+00 -2.92980e-03
4.52415e-03 1.13217e+00 -2.38015e-03
4.52415e-03 1.20646e+00 -2.42494e-03
4.52415e-03 1.28249e+00 -2.67057e-03
4.52415e-03 1.36021e+00 -2.58244e-03
4.52415e-03 1.43953e+00 -2.08061e-03
4.52415e-03 1.52037e+00 -1.55271e-03
4.52415e-03 1.60266e+00 -1.32567e-03
4.52415e-03 1.68631e+00 -1.29817e-03
4.52415e-03 1.77124e+00 -1.16702e-03
4.52415e-03 1.85738e+00 -8.58889e-04
4.52415e-03 1.94463e+00 -5.65618e-04
4.52415e-03 2.03292e+00 -4.24580e-04
4.52415e-03 2.12215e+00 -3.62617e-04
4.52415e-03 2.21224e+00 -2.68111e-04
4.52415e-03 2.30309e+00 -1.51302e-04
4.52415e-03 2.39463e+00 -7.70267e-05
4.52415e-03 2.48676e+00 -5.10541e-05
4.52415e-03 2.57939e+00 -3.63582e-05
4.52415e-03 2.67243e+00 -1.80461e-05
4.52415e-03 2.76579e+00 -5.28802e-06
4.52415e-03 2.85938e+00 -1.63994e-06
4.52415e-03 2.95311e+00 -1.34369e-06
4.52415e-03 3.04689e+00 -7.09279e-07
4.52415e-03 3.14062e+00 -6.85414e-08
4.52415e-03 3.23421e+00 7.57746e-08
4.52415e-03 3.32757e+00 1.74806e-08
4.52415e-03 3.42061e+00 -6.17913e-09
4.52415e-03 3.51324e+00 -5.13085e-10
4.52415e-03 3.60537e+00 1.83168e-09
4.52415e-03 3.69691e+00 6.44965e-10
4.52415e-03 3.78776e+00 1.77690e-11
4.52415e-03 3.87785e+00 -2.11241e-11
4.52415e-03 3.96708e+00 -1.12834e-12
4.52415e-03 4.05537e+00 -4.08774e-13
4.52415e-03 4.14262e+00 -4.60997e-13
4.52415e-03 4.22876e+00 -2.55846e-14
4.52415e-03 4.31369e+00 2.60090e-14
4.52415e-03 4.39734e+00 1.37641e-14
4.52415e-03 4.47963e+00 9.83733e-15
4.52415e-03 4.56047e+00 4.84441e-15
1.11146e-02 8.58820e-04 4.34994e-04
1.11146e-02 4.52415e-03 2.29078e-03
1.11146e-02 1.11146e-02 5.61863e-03
1.11146e-02 2.06252e-02 1.03766e-02
1.11146e-02 3.30468e-02 1.64508e-02
1.11146e-02 4.83674e-02 2.36032e-02
1.11146e-02 6.65719e-02 3.14143e-02
1.11146e-02 8.76427e-02 3.92345e-02
1.11146e-02 1.11559e-01 4.61705e-02
1.11146e-02 1.38298e-01 5.11328e-02
1.11146e-02 1.67832e-01 5.29769e-02
1.11146e-02 2.00134e-01 5.07459e-02
1.11146e-02 2.35172e-01 4.39925e-02
1.11146e-02 2.72911e-01 3.30976e-02
1.11146e-02 3.13315e-01 1.94522e-02
1.11146e-02 3.56344e-01 5.34451e-03
1.11146e-02 4.01956e-01 -6.54480e-03
1.11146e-02 4.50106e-01 -1.39816e-02
1.11146e-02 5.00748e-01 -1.60718e-02
1.11146e-02 5.53832e-01 -1.37595e-02
1.11146e-02 6.09306e-01 -9.52500e-03
1.11146e-02 6.67116e-01 -6.23483e-03
1.11146e-02 7.27206e-01 -5.65060e-03
1.11146e-02 7.89516e-01 -7.50505e-03
1.11146e-02 8.53986e-01 -9.87025e-03
1.11146e-02 9.20552e-01 -1.06945e-02
1.11146e-02 9.89151e-01 -9.39790e-03
1.11146e-02 1.05971e+00 -7.19915e-03
1.11146e-02 1.13217e+00 -5.85042e-03
1.11146e-02 1.20646e+00 -5.95872e-03
1.11146e-02 1.28249e+00 -6.55958e-03
1.11146e-02 1.36021e+00 -6.34249e-03
1.11146e-02 1.43953e+00 -5.11119e-03
1.11146e-02 1.52037e+00 -3.81579e-03
1.11146e-02 1.60266e+00 -3.25779e-03
1.11146e-02 1.68631e+00 -3.18903e-03
1.11146e-02 1.77124e+00 -2.86636e-03
1.11146e-02 1.85738e+00 -2.10996e-03
1.11146e-02 1.94463e+00 -1.39003e-03
1.11146e-02 2.03292e+00 -1.04338e-03
1.11146e-02 2.12215e+00 -8.90748e-04
1.11146e-02 2.21224e+00 -6.58517e-04
1.11146e-02 2.30309e+00 -3.71744e-04
