2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 -1.00823e-15
8.58820e-04 4.52415e-03 -1.87852e-16
8.58820e-04 1.11146e-02 7.95472e-17
8.58820e-04 2.06252e-02 9.56172e-17
8.58820e-04 3.30468e-02 4.59373e-17
8.58820e-04 4.83674e-02 -6.05652e-17
8.58820e-04 6.65719e-02 -1.40577e-16
8.58820e-04 8.76427e-02 -4.95358e-16
8.58820e-04 1.11559e-01 -1.38014e-15
8.58820e-04 1.38298e-01 -3.12656e-15
8.58820e-04 1.67832e-01 -6.26049e-15
8.58820e-04 2.00134e-01 -1.14061e-14
8.58820e-04 2.35172e-01 -1.90245e-14
8.58820e-04 2.72911e-01 -2.92276e-14
8.58820e-04 3.13315e-01 -4.17277e-14
8.58820e-04 3.56344e-01 -5.55141e-14
8.58820e-04 4.01956e-01 -6.92278e-14
8.58820e-04 4.50106e-01 -8.12877e-14
8.58820e-04 5.00748e-01 -9.03352e-14
8.58820e-04 5.53832e-01 -9.55203e-14
8.58820e-04 6.09306e-01 -9.65772e-14
8.58820e-04 6.67116e-01 -9.38909e-14
8.58820e-04 7.27206e-01 -8.81864e-14
8.58820e-04 7.89516e-01 -8.03893e-14
8.58820e-04 8.53986e-01 -7.14344e-14
8.58820e-04 9.20552e-01 -6.21008e-14
8.58820e-04 9.89151e-01 -5.30092e-14
8.58820e-04 1.05971e+00 -4.44749e-14
8.58820e-04 1.13217e+00 -3.67983e-14
8.58820e-04 1.20646e+00 -3.00405e-14
8.58820e-04 1.28249e+00 -2.42094e-14
8.58820e-04 1.36021e+00 -1.92773e-14
8.58820e-04 1.43953e+00 -1.51743e-14
8.58820e-04 1.52037e+00 -1.17482e-14
8.58820e-04 1.60266e+00 -8.95223e-15
8.58820e-04 1.68631e+00 -6.69550e-15
8.58820e-04 1.77124e+00 -4.92398e-15
8.58820e-04 1.85738e+00 -3.49627e-15
8.58820e-04 1.94463e+00 -2.41201e-15
8.58820e-04 2.03292e+00 -1.61785e-15
8.58820e-04 2.12215e+00 -1.02599e-15
8.58820e-04 2.21224e+00 -6.24126e-16
8.58820e-04 2.30309e+00 -3.48413e-16
8.58820e-04 2.39463e+00 -1.80867e-16
8.58820e-04 2.48676e+00 -8.88437e-17
8.58820e-04 2.57939e+00 -3.87019e-17
8.58820e-04 2.67243e+00 -1.24543e-17
8.58820e-04 2.76579e+00 -4.94151e-18
8.58820e-04 2.85938e+00 -1.43492e-18
8.58820e-04 2.95311e+00 -3.65651e-19
8.58820e-04 3.04689e+00 -1.00394e-19
8.58820e-04 3.14062e+00 -6.92517e-20
8.58820e-04 3.23421e+00 -4.51653e-21
8.58820e-04 3.32757e+00 -2.54003e-21
8.58820e-04 3.42061e+00 -7.55476e-22
8.58820e-04 3.51324e+00 -2.73144e-22
8.58820e-04 3.60537e+00 2.84141e-23
8.58820e-04 3.69691e+00 -5.39435e-24
8.58820e-04 3.78776e+00 -6.78250e-25
8.58820e-04 3.87785e+00 -9.58673e-25
8.58820e-04 3.96708e+00 4.54460e-26
8.58820e-04 4.05537e+00 1.77526e-26
8.58820e-04 4.14262e+00 3.50451e-27
8.58820e-04 4.22876e+00 5.70450e-28
8.58820e-04 4.31369e+00 8.96647e-29
8.58820e-04 4.39734e+00 1.33783e-29
8.58820e-04 4.47963e+00 1.84575e-30
8.58820e-04 4.56047e+00 2.13628e-31
4.52415e-03 8.58820e-04 -1.87852e-16
4.52415e-03 4.52415e-03 4.32221e-17
4.52415e-03 1.11146e-02 -7.95842e-17
4.52415e-03 2.06252e-02 -1.38647e-15
4.52415e-03 3.30468e-02 -9.46134e-15
4.52415e-03 4.83674e-02 -4.30761e-14
4.52415e-03 6.65719e-02 -1.51680e-13
4.52415e-03 8.76427e-02 -4.41585e-13
4.52415e-03 1.11559e-01 -1.10713e-12
4.52415e-03 1.38298e-01 -2.45331e-12
4.52415e-03 1.67832e-01 -4.88771e-12
4.52415e-03 2.00134e-01 -8.85913e-12
4.52415e-03 2.35172e-01 -1.47330e-11
4.52415e-03 2.72911e-01 -2.26257e-11
4.52415e-03 3.13315e-01 -3.22587e-11
4.52415e-03 3.56344e-01 -4.29062e-11
4.52415e-03 4.01956e-01 -5.34897e-11
4.52415e-03 4.50106e-01 -6.28053e-11
4.52415e-03 5.00748e-01 -6.98037e-11
4.52415e-03 5.53832e-01 -7.38196e-11
4.52415e-03 6.09306e-01 -7.46725e-11
4.52415e-03 6.67116e-01 -7.26281e-11
4.52415e-03 7.27206e-01 -6.82615e-11
4.52415e-03 7.89516e-01 -6.22878e-11
4.52415e-03 8.53986e-01 -5.54147e-11
4.52415e-03 9.20552e-01 -4.82456e-11
4.52415e-03 9.89151e-01 -4.12360e-11
4.52415e-03 1.05971e+00 -3.46896e-11
4.52415e-03 1.13217e+00 -2.87796e-11
4.52415e-03 1.20646e+00 -2.35796e-11
4.52415e-03 1.28249e+00 -1.90941e-11
4.52415e-03 1.36021e+00 -1.52846e-11
4.52415e-03 1.43953e+00 -1.20902e-11
4.52415e-03 1.52037e+00 -9.44028e-12
