2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 5.14166e-16
8.58820e-04 4.52415e-03 5.31406e-16
8.58820e-04 1.11146e-02 5.06828e-16
8.58820e-04 2.06252e-02 5.28316e-16
8.58820e-04 3.30468e-02 5.17906e-16
8.58820e-04 4.83674e-02 5.13046e-16
8.58820e-04 6.65719e-02 5.22816e-16
8.58820e-04 8.76427e-02 5.07956e-16
8.58820e-04 1.11559e-01 5.10104e-16
8.58820e-04 1.38298e-01 5.34353e-16
8.58820e-04 1.67832e-01 5.21324e-16
8.58820e-04 2.00134e-01 5.13944e-16
8.58820e-04 2.35172e-01 5.24852e-16
8.58820e-04 2.72911e-01 5.30136e-16
8.58820e-04 3.13315e-01 5.30173e-16
8.58820e-04 3.56344e-01 5.39295e-16
8.58820e-04 4.01956e-01 5.35703e-16
8.58820e-04 4.50106e-01 5.34054e-16
8.58820e-04 5.00748e-01 5.49277e-16
8.58820e-04 5.53832e-01 5.44402e-16
8.58820e-04 6.09306e-01 5.44916e-16
8.58820e-04 6.67116e-01 5.28032e-16
8.58820e-04 7.27206e-01 5.38121e-16
8.58820e-04 7.89516e-01 5.35673e-16
8.58820e-04 8.53986e-01 5.42787e-16
8.58820e-04 9.20552e-01 5.21914e-16
8.58820e-04 9.89151e-01 5.33315e-16
8.58820e-04 1.05971e+00 4.96448e-16
8.58820e-04 1.13217e+00 4.91250e-16
8.58820e-04 1.20646e+00 4.69786e-16
8.58820e-04 1.28249e+00 4.50687e-16
8.58820e-04 1.36021e+00 4.19013e-16
8.58820e-04 1.43953e+00 3.88822e-16
8.58820e-04 1.52037e+00 3.55415e-16
8.58820e-04 1.60266e+00 3.16173e-16
8.58820e-04 1.68631e+00 2.84761e-16
8.58820e-04 1.77124e+00 2.38140e-16
8.58820e-04 1.85738e+00 2.02617e-16
8.58820e-04 1.94463e+00 1.62470e-16
8.58820e-04 2.03292e+00 1.31209e-16
8.58820e-04 2.12215e+00 9.68934e-17
8.58820e-04 2.21224e+00 7.11207e-17
8.58820e-04 2.30309e+00 4.95534e-17
8.58820e-04 2.39463e+00 3.19964e-17
8.58820e-04 2.48676e+00 1.99079e-17
8.58820e-04 2.57939e+00 1.22095e-17
8.58820e-04 2.67243e+00 6.75969e-18
8.58820e-04 2.76579e+00 3.42077e-18
8.58820e-04 2.85938e+00 1.68449e-18
8.58820e-04 2.95311e+00 7.50816e-19
8.58820e-04 3.04689e+00 3.03978e-19
8.58820e-04 3.14062e+00 1.17732e-19
8.58820e-04 3.23421e+00 3.96938e-20
8.58820e-04 3.32757e+00 1.26546e-20
8.58820e-04 3.42061e+00 3.63573e-21
8.58820e-04 3.51324e+00 9.18552e-22
8.58820e-04 3.60537e+00 2.09600e-22
8.58820e-04 3.69691e+00 4.38153e-23
8.58820e-04 3.78776e+00 7.58527e-24
8.58820e-04 3.87785e+00 1.12855e-24
8.58820e-04 3.96708e+00 1.25484e-25
8.58820e-04 4.05537e+00 5.05873e-27
8.58820e-04 4.14262e+00 -2.08023e-27
8.58820e-04 4.22876e+00 -7.69496e-28
8.58820e-04 4.31369e+00 -1.76784e-28
8.58820e-04 4.39734e+00 -3.23653e-29
8.58820e-04 4.47963e+00 -5.13635e-30
8.58820e-04 4.56047e+00 -7.29873e-31
4.52415e-03 8.58820e-04 5.31406e-16
4.52415e-03 4.52415e-03 5.18586e-16
4.52415e-03 1.11146e-02 5.19023e-16
4.52415e-03 2.06252e-02 5.15914e-16
4.52415e-03 3.30468e-02 5.15174e-16
4.52415e-03 4.83674e-02 5.22932e-16
4.52415e-03 6.65719e-02 5.25970e-16
4.52415e-03 8.76427e-02 5.26062e-16
4.52415e-03 1.11559e-01 5.19557e-16
4.52415e-03 1.38298e-01 5.32453e-16
4.52415e-03 1.67832e-01 5.23215e-16
4.52415e-03 2.00134e-01 5.23666e-16
4.52415e-03 2.35172e-01 5.27496e-16
4.52415e-03 2.72911e-01 5.35238e-16
4.52415e-03 3.13315e-01 5.49407e-16
4.52415e-03 3.56344e-01 5.26101e-16
4.52415e-03 4.01956e-01 5.49714e-16
4.52415e-03 4.50106e-01 5.34394e-16
4.52415e-03 5.00748e-01 5.30510e-16
4.52415e-03 5.53832e-01 5.59596e-16
4.52415e-03 6.09306e-01 5.43628e-16
4.52415e-03 6.67116e-01 5.38335e-16
4.52415e-03 7.27206e-01 5.38389e-16
4.52415e-03 7.89516e-01 5.39406e-16
4.52415e-03 8.53986e-01 5.44087e-16
4.52415e-03 9.20552e-01 5.22686e-16
4.52415e-03 9.89151e-01 5.20390e-16
4.52415e-03 1.05971e+00 5.14993e-16
4.52415e-03 1.13217e+00 4.97735e-16
4.52415e-03 1.20646e+00 4.70294e-16
4.52415e-03 1.28249e+00 4.46871e-16
4.52415e-03 1.36021e+00 4.13653e-16
4.52415e-03 1.43953e+00 3.77475e-16
4.52415e-03 1.52037e+00 3.57080e-16
4.52415e-03 1.60266e+00 3.22065e-16
4.52415e-03 1.68631e+00 2.82305e-16
4.52415e-03 1.77124e+00 2.34235e-16
4.52415e-03 1.85738e+00 2.02936e-16
4.52415e-03 1.94463e+00 1.62929e-16
4.52415e-03 2.03292e+00 1.28384e-16
4.52415e-03 2.12215e+00 9.73310e-17
4.52415e-03 2.21224e+00 7.01579e-17
4.52415e-03 2.30309e+00 4.86431e-17
4.52415e-03 2.39463e+00 3.30364e-17
4.52415e-03 2.48676e+00 2.05961e-17
4.52415e-03 2.57939e+00 1.17134e-17
4.52415e-03 2.67243e+00 6.73666e-18
4.52415e-03 2.76579e+00 3.38474e-18
4.52415e-03 2.85938e+00 1.63085e-18
4.52415e-03 2.95311e+00 7.39094e-19
4.52415e-03 3.04689e+00 3.00000e-19
4.52415e-03 3.14062e+00 1.15283e-19
4.52415e-03 3.23421e+00 4.06443e-20
4.52415e-03 3.32757e+00 1.26454e-20
4.52415e-03 3.42061e+00 3.61927e-21
4.52415e-03 3.51324e+00 9.49269e-22
4.52415e-03 3.60537e+00 2.15337e-22
4.52415e-03 3.69691e+00 4.37498e-23
4.52415e-03 3.78776e+00 7.73228e-24
4.52415e-03 3.87785e+00 1.14905e-24
4.52415e-03 3.96708e+00 1.22180e-25
4.52415e-03 4.05537e+00 5.23001e-27
4.52415e-03 4.14262e+00 -2.07685e-27
4.52415e-03 4.22876e+00 -7.67182e-28
4.52415e-03 4.31369e+00 -1.77107e-28
4.52415e-03 4.39734e+00 -3.25020e-29
4.52415e-03 4.47963e+00 -5.15492e-30
4.52415e-03 4.56047e+00 -7.32370e-31
1.11146e-02 8.58820e-04 5.06828e-16
1.11146e-02 4.52415e-03 5.19023e-16
1.11146e-02 1.11146e-02 5.16936e-16
1.11146e-02 2.06252e-02 4.98903e-16
1.11146e-02 3.30468e-02 5.12876e-16
1.11146e-02 4.83674e-02 5.28822e-16
1.11146e-02 6.65719e-02 5.16742e-16
1.11146e-02 8.76427e-02 5.11116e-16
1.11146e-02 1.11559e-01 5.13268e-16
1.11146e-02 1.38298e-01 5.26607e-16
1.11146e-02 1.67832e-01 5.17113e-16
1.11146e-02 2.00134e-01 5.41105e-16
1.11146e-02 2.35172e-01 5.31606e-16
1.11146e-02 2.72911e-01 5.36464e-16
1.11146e-02 3.13315e-01 5.28411e-16
1.11146e-02 3.56344e-01 -2.63140e-16
1.11146e-02 4.01956e-01 -2.67704e-16
1.11146e-02 4.50106e-01 -2.78808e-16
1.11146e-02 5.00748e-01 -2.85981e-16
1.11146e-02 5.53832e-01 -2.86915e-16
1.11146e-02 6.09306e-01 -2.89343e-16
1.11146e-02 6.67116e-01 -2.90788e-16
1.11146e-02 7.27206e-01 -2.62620e-16
1.11146e-02 7.89516e-01 -2.71392e-16
1.11146e-02 8.53986e-01 -2.67203e-16
1.11146e-02 9.20552e-01 -2.52576e-16
1.11146e-02 9.89151e-01 -2.48200e-16
1.11146e-02 1.05971e+00 -2.55112e-16
1.11146e-02 1.13217e+00 -2.44880e-16
1.11146e-02 1.20646e+00 -2.36896e-16
1.11146e-02 1.28249e+00 -2.32365e-16
1.11146e-02 1.36021e+00 -2.05921e-16
1.11146e-02 1.43953e+00 -1.88556e-16
