2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 -1.30608e-15
8.58820e-04 4.52415e-03 -5.37992e-16
8.58820e-04 1.11146e-02 -4.65796e-16
8.58820e-04 2.06252e-02 -5.23737e-16
8.58820e-04 3.30468e-02 -5.04164e-16
8.58820e-04 4.83674e-02 -5.06852e-16
8.58820e-04 6.65719e-02 -5.02400e-16
8.58820e-04 8.76427e-02 -5.04480e-16
8.58820e-04 1.11559e-01 -4.99836e-16
8.58820e-04 1.38298e-01 -4.91784e-16
8.58820e-04 1.67832e-01 -4.92295e-16
8.58820e-04 2.00134e-01 -4.82372e-16
8.58820e-04 2.35172e-01 -4.78517e-16
8.58820e-04 2.72911e-01 -4.67135e-16
8.58820e-04 3.13315e-01 -4.57203e-16
8.58820e-04 3.56344e-01 -4.46748e-16
8.58820e-04 4.01956e-01 -4.30527e-16
8.58820e-04 4.50106e-01 -4.16798e-16
8.58820e-04 5.00748e-01 -4.00066e-16
8.58820e-04 5.53832e-01 -3.80126e-16
8.58820e-04 6.09306e-01 -3.53734e-16
8.58820e-04 6.67116e-01 -3.40552e-16
8.58820e-04 7.27206e-01 -3.09052e-16
8.58820e-04 7.89516e-01 -2.89980e-16
8.58820e-04 8.53986e-01 -2.77000e-16
8.58820e-04 9.20552e-01 -2.47012e-16
8.58820e-04 9.89151e-01 -2.17566e-16
8.58820e-04 1.05971e+00 -1.99245e-16
8.58820e-04 1.13217e+00 -1.65703e-16
8.58820e-04 1.20646e+00 -1.42558e-16
8.58820e-04 1.28249e+00 -1.10884e-16
8.58820e-04 1.36021e+00 -8.80681e-17
8.58820e-04 1.43953e+00 -5.96308e-17
8.58820e-04 1.52037e+00 -2.94741e-17
8.58820e-04 1.60266e+00 -4.42568e-17
8.58820e-04 1.68631e+00 -3.16578e-17
8.58820e-04 1.77124e+00 1.13166e-17
8.58820e-04 1.85738e+00 9.49740e-18
8.58820e-04 1.94463e+00 2.59131e-17
8.58820e-04 2.03292e+00 2.46440e-17
8.58820e-04 2.12215e+00 -1.38225e-18
8.58820e-04 2.21224e+00 1.44008e-17
8.58820e-04 2.30309e+00 7.01618e-18
8.58820e-04 2.39463e+00 5.59364e-18
8.58820e-04 2.48676e+00 3.23757e-18
8.58820e-04 2.57939e+00 2.72595e-18
8.58820e-04 2.67243e+00 -9.00367e-20
8.58820e-04 2.76579e+00 2.64383e-19
8.58820e-04 2.85938e+00 2.46931e-20
8.58820e-04 2.95311e+00 2.37788e-20
8.58820e-04 3.04689e+00 3.20303e-20
8.58820e-04 3.14062e+00 6.34466e-22
8.58820e-04 3.23421e+00 -1.64010e-20
8.58820e-04 3.32757e+00 2.06310e-21
8.58820e-04 3.42061e+00 -3.29535e-22
8.58820e-04 3.51324e+00 5.67149e-22
8.58820e-04 3.60537e+00 5.64515e-23
8.58820e-04 3.69691e+00 -7.54360e-24
8.58820e-04 3.78776e+00 -1.83494e-24
8.58820e-04 3.87785e+00 -2.86484e-25
8.58820e-04 3.96708e+00 5.64729e-26
8.58820e-04 4.05537e+00 -9.04398e-29
8.58820e-04 4.14262e+00 2.84738e-28
8.58820e-04 4.22876e+00 7.80770e-30
8.58820e-04 4.31369e+00 -2.01441e-29
8.58820e-04 4.39734e+00 1.66610e-31
8.58820e-04 4.47963e+00 3.18479e-34
8.58820e-04 4.56047e+00 -3.03485e-33
4.52415e-03 8.58820e-04 -5.37992e-16
4.52415e-03 4.52415e-03 -5.69991e-16
4.52415e-03 1.11146e-02 -5.51185e-16
4.52415e-03 2.06252e-02 -5.08834e-16
4.52415e-03 3.30468e-02 -5.11379e-16
4.52415e-03 4.83674e-02 -5.09174e-16
4.52415e-03 6.65719e-02 -5.05108e-16
4.52415e-03 8.76427e-02 -4.96660e-16
4.52415e-03 1.11559e-01 -4.95984e-16
4.52415e-03 1.38298e-01 -4.97068e-16
4.52415e-03 1.67832e-01 -4.91548e-16
4.52415e-03 2.00134e-01 -4.84649e-16
4.52415e-03 2.35172e-01 -4.77220e-16
4.52415e-03 2.72911e-01 -4.67140e-16
4.52415e-03 3.13315e-01 -4.58080e-16
4.52415e-03 3.56344e-01 -4.43019e-16
4.52415e-03 4.01956e-01 -4.28989e-16
4.52415e-03 4.50106e-01 -4.16252e-16
4.52415e-03 5.00748e-01 -4.00546e-16
4.52415e-03 5.53832e-01 -3.78321e-16
4.52415e-03 6.09306e-01 -3.54329e-16
4.52415e-03 6.67116e-01 -3.42149e-16
4.52415e-03 7.27206e-01 -3.20619e-16
4.52415e-03 7.89516e-01 -2.87322e-16
4.52415e-03 8.53986e-01 -2.71799e-16
4.52415e-03 9.20552e-01 -2.40534e-16
4.52415e-03 9.89151e-01 -2.31083e-16
4.52415e-03 1.05971e+00 -2.02164e-16
4.52415e-03 1.13217e+00 -1.57695e-16
4.52415e-03 1.20646e+00 -1.30923e-16
4.52415e-03 1.28249e+00 -9.65014e-17
4.52415e-03 1.36021e+00 -7.60538e-17
4.52415e-03 1.43953e+00 -7.61547e-17
4.52415e-03 1.52037e+00 -4.15535e-17
4.52415e-03 1.60266e+00 -2.63710e-17
4.52415e-03 1.68631e+00 3.29148e-19
4.52415e-03 1.77124e+00 -7.77070e-18
4.52415e-03 1.85738e+00 1.56735e-17
4.52415e-03 1.94463e+00 2.01467e-17
4.52415e-03 2.03292e+00 1.78749e-17
4.52415e-03 2.12215e+00 2.54272e-17
4.52415e-03 2.21224e+00 9.33833e-18
4.52415e-03 2.30309e+00 7.26794e-18
4.52415e-03 2.39463e+00 7.88622e-18
4.52415e-03 2.48676e+00 2.01451e-18
4.52415e-03 2.57939e+00 3.38349e-18
4.52415e-03 2.67243e+00 9.20416e-19
4.52415e-03 2.76579e+00 2.22306e-19
4.52415e-03 2.85938e+00 1.74568e-19
4.52415e-03 2.95311e+00 1.03031e-19
4.52415e-03 3.04689e+00 2.14134e-20
4.52415e-03 3.14062e+00 -4.21696e-21
4.52415e-03 3.23421e+00 3.29241e-21
4.52415e-03 3.32757e+00 -8.75323e-22
4.52415e-03 3.42061e+00 9.05520e-22
4.52415e-03 3.51324e+00 7.29265e-24
4.52415e-03 3.60537e+00 6.98064e-23
4.52415e-03 3.69691e+00 1.11184e-23
4.52415e-03 3.78776e+00 2.13453e-24
4.52415e-03 3.87785e+00 4.60750e-25
4.52415e-03 3.96708e+00 1.83576e-26
4.52415e-03 4.05537e+00 -3.79844e-28
4.52415e-03 4.14262e+00 -5.18958e-28
4.52415e-03 4.22876e+00 -1.88566e-29
4.52415e-03 4.31369e+00 9.26938e-30
4.52415e-03 4.39734e+00 -1.16703e-30
4.52415e-03 4.47963e+00 -1.81271e-33
4.52415e-03 4.56047e+00 1.88900e-33
1.11146e-02 8.58820e-04 -4.65796e-16
1.11146e-02 4.52415e-03 -5.51185e-16
1.11146e-02 1.11146e-02 -5.06929e-16
1.11146e-02 2.06252e-02 -5.17090e-16
1.11146e-02 3.30468e-02 -4.99836e-16
1.11146e-02 4.83674e-02 -5.11590e-16
1.11146e-02 6.65719e-02 -4.95652e-16
1.11146e-02 8.76427e-02 -4.97230e-16
