2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 3.58179e-05
8.58820e-04 4.52415e-03 1.88628e-04
8.58820e-04 1.11146e-02 4.62687e-04
8.58820e-04 2.06252e-02 8.54697e-04
8.58820e-04 3.30468e-02 1.35571e-03
8.58820e-04 4.83674e-02 1.94703e-03
8.58820e-04 6.65719e-02 2.59572e-03
8.58820e-04 8.76427e-02 3.25078e-03
8.58820e-04 1.11559e-01 3.84198e-03
8.58820e-04 1.38298e-01 4.28358e-03
8.58820e-04 1.67832e-01 4.48520e-03
8.58820e-04 2.00134e-01 4.37072e-03
8.58820e-04 2.35172e-01 3.90329e-03
8.58820e-04 2.72911e-01 3.11024e-03
8.58820e-04 3.13315e-01 2.09730e-03
8.58820e-04 3.56344e-01 1.04008e-03
8.58820e-04 4.01956e-01 1.45133e-04
8.58820e-04 4.50106e-01 -4.14984e-04
8.58820e-04 5.00748e-01 -5.70901e-04
8.58820e-04 5.53832e-01 -3.95095e-04
8.58820e-04 6.09306e-01 -7.86432e-05
8.58820e-04 6.67116e-01 1.57734e-04
8.58820e-04 7.27206e-01 1.78985e-04
8.58820e-04 7.89516e-01 7.14750e-06
8.58820e-04 8.53986e-01 -2.07293e-04
8.58820e-04 9.20552e-01 -3.04519e-04
8.58820e-04 9.89151e-01 -2.38962e-04
8.58820e-04 1.05971e+00 -1.04556e-04
8.58820e-04 1.13217e+00 -3.66615e-05
8.58820e-04 1.20646e+00 -8.19876e-05
8.58820e-04 1.28249e+00 -1.65559e-04
8.58820e-04 1.36021e+00 -1.85634e-04
8.58820e-04 1.43953e+00 -1.26782e-04
8.58820e-04 1.52037e+00 -6.23014e-05
8.58820e-04 1.60266e+00 -5.38673e-05
8.58820e-04 1.68631e+00 -8.17383e-05
8.58820e-04 1.77124e+00 -8.77754e-05
8.58820e-04 1.85738e+00 -5.74799e-05
8.58820e-04 1.94463e+00 -2.67623e-05
8.58820e-04 2.03292e+00 -2.13163e-05
8.58820e-04 2.12215e+00 -2.70519e-05
8.58820e-04 2.21224e+00 -2.28152e-05
8.58820e-04 2.30309e+00 -1.08331e-05
8.58820e-04 2.39463e+00 -3.89562e-06
8.58820e-04 2.48676e+00 -3.69179e-06
8.58820e-04 2.57939e+00 -3.80940e-06
8.58820e-04 2.67243e+00 -1.98463e-06
8.58820e-04 2.76579e+00 -4.17312e-07
8.58820e-04 2.85938e+00 -1.18153e-07
8.58820e-04 2.95311e+00 -2.15649e-07
8.58820e-04 3.04689e+00 -1.40734e-07
8.58820e-04 3.14062e+00 -2.48419e-08
8.58820e-04 3.23421e+00 6.70458e-09
8.58820e-04 3.32757e+00 -2.82648e-10
8.58820e-04 3.42061e+00 -2.53428e-09
8.58820e-04 3.51324e+00 -5.13573e-10
8.58820e-04 3.60537e+00 2.55674e-10
8.58820e-04 3.69691e+00 1.12684e-10
8.58820e-04 3.78776e+00 4.35611e-12
8.58820e-04 3.87785e+00 -3.19082e-12
8.58820e-04 3.96708e+00 6.71818e-13
8.58820e-04 4.05537e+00 5.00363e-13
8.58820e-04 4.14262e+00 5.84277e-14
8.58820e-04 4.22876e+00 -8.18221e-15
8.58820e-04 4.31369e+00 -2.38110e-15
8.58820e-04 4.39734e+00 -1.59709e-17
8.58820e-04 4.47963e+00 2.88817e-16
8.58820e-04 4.56047e+00 2.31517e-16
4.52415e-03 8.58820e-04 1.88628e-04
4.52415e-03 4.52415e-03 9.93371e-04
4.52415e-03 1.11146e-02 2.43665e-03
4.52415e-03 2.06252e-02 4.50109e-03
4.52415e-03 3.30468e-02 7.13956e-03
4.52415e-03 4.83674e-02 1.02537e-02
4.52415e-03 6.65719e-02 1.36699e-02
4.52415e-03 8.76427e-02 1.71197e-02
4.52415e-03 1.11559e-01 2.02332e-02
4.52415e-03 1.38298e-01 2.25589e-02
4.52415e-03 1.67832e-01 2.36208e-02
4.52415e-03 2.00134e-01 2.30181e-02
4.52415e-03 2.35172e-01 2.05568e-02
4.52415e-03 2.72911e-01 1.63806e-02
4.52415e-03 3.13315e-01 1.10463e-02
4.52415e-03 3.56344e-01 5.47869e-03
4.52415e-03 4.01956e-01 7.65510e-04
4.52415e-03 4.50106e-01 -2.18453e-03
4.52415e-03 5.00748e-01 -3.00604e-03
4.52415e-03 5.53832e-01 -2.08062e-03
4.52415e-03 6.09306e-01 -4.14411e-04
4.52415e-03 6.67116e-01 8.30292e-04
4.52415e-03 7.27206e-01 9.42257e-04
4.52415e-03 7.89516e-01 3.74570e-05
4.52415e-03 8.53986e-01 -1.09174e-03
4.52415e-03 9.20552e-01 -1.60377e-03
4.52415e-03 9.89151e-01 -1.25863e-03
4.52415e-03 1.05971e+00 -5.50906e-04
4.52415e-03 1.13217e+00 -1.93368e-04
4.52415e-03 1.20646e+00 -4.32003e-04
4.52415e-03 1.28249e+00 -8.72044e-04
4.52415e-03 1.36021e+00 -9.77749e-04
4.52415e-03 1.43953e+00 -6.67842e-04
4.52415e-03 1.52037e+00 -3.28285e-04
4.52415e-03 1.60266e+00 -2.83838e-04
4.52415e-03 1.68631e+00 -4.30565e-04
4.52415e-03 1.77124e+00 -4.62332e-04
4.52415e-03 1.85738e+00 -3.02786e-04
4.52415e-03 1.94463e+00 -1.41014e-04
4.52415e-03 2.03292e+00 -1.12313e-04
4.52415e-03 2.12215e+00 -1.42496e-04
4.52415e-03 2.21224e+00 -1.20174e-04
4.52415e-03 2.30309e+00 -5.70693e-05
4.52415e-03 2.39463e+00 -2.05297e-05
4.52415e-03 2.48676e+00 -1.94497e-05
4.52415e-03 2.57939e+00 -2.00648e-05
4.52415e-03 2.67243e+00 -1.04537e-05
4.52415e-03 2.76579e+00 -2.19920e-06
4.52415e-03 2.85938e+00 -6.22986e-07
4.52415e-03 2.95311e+00 -1.13590e-06
4.52415e-03 3.04689e+00 -7.41219e-07
4.52415e-03 3.14062e+00 -1.30874e-07
4.52415e-03 3.23421e+00 3.52838e-08
4.52415e-03 3.32757e+00 -1.49314e-09
4.52415e-03 3.42061e+00 -1.33456e-08
4.52415e-03 3.51324e+00 -2.70433e-09
4.52415e-03 3.60537e+00 1.34642e-09
4.52415e-03 3.69691e+00 5.93440e-10
4.52415e-03 3.78776e+00 2.29676e-11
4.52415e-03 3.87785e+00 -1.67937e-11
4.52415e-03 3.96708e+00 3.53954e-12
4.52415e-03 4.05537e+00 2.63517e-12
4.52415e-03 4.14262e+00 3.07713e-13
4.52415e-03 4.22876e+00 -4.30899e-14
4.52415e-03 4.31369e+00 -1.25419e-14
4.52415e-03 4.39734e+00 -8.44876e-17
4.52415e-03 4.47963e+00 1.52137e-15
4.52415e-03 4.56047e+00 1.21960e-15
1.11146e-02 8.58820e-04 4.62687e-04
1.11146e-02 4.52415e-03 2.43665e-03
1.11146e-02 1.11146e-02 5.97688e-03
1.11146e-02 2.06252e-02 1.10408e-02
1.11146e-02 3.30468e-02 1.75127e-02
1.11146e-02 4.83674e-02 2.51515e-02
1.11146e-02 6.65719e-02 3.35314e-02
1.11146e-02 8.76427e-02 4.19939e-02
1.11146e-02 1.11559e-01 4.96319e-02
1.11146e-02 1.38298e-01 5.53381e-02
1.11146e-02 1.67832e-01 5.79451e-02
1.11146e-02 2.00134e-01 5.64694e-02
1.11146e-02 2.35172e-01 5.04350e-02
1.11146e-02 2.72911e-01 4.01941e-02
1.11146e-02 3.13315e-01 2.71117e-02
1.11146e-02 3.56344e-01 1.34556e-02
1.11146e-02 4.01956e-01 1.89304e-03
1.11146e-02 4.50106e-01 -5.34687e-03
1.11146e-02 5.00748e-01 -7.36724e-03
1.11146e-02 5.53832e-01 -5.10271e-03
1.11146e-02 6.09306e-01 -1.01975e-03
1.11146e-02 6.67116e-01 2.03172e-03
1.11146e-02 7.27206e-01 2.30704e-03
1.11146e-02 7.89516e-01 8.95188e-05
1.11146e-02 8.53986e-01 -2.67889e-03
1.11146e-02 9.20552e-01 -3.93493e-03
1.11146e-02 9.89151e-01 -3.08962e-03
1.11146e-02 1.05971e+00 -1.35493e-03
1.11146e-02 1.13217e+00 -4.78133e-04
1.11146e-02 1.20646e+00 -1.06264e-03
1.11146e-02 1.28249e+00 -2.14108e-03
1.11146e-02 1.36021e+00 -2.40016e-03
1.11146e-02 1.43953e+00 -1.64037e-03
1.11146e-02 1.52037e+00 -8.07663e-04
1.11146e-02 1.60266e+00 -6.98237e-04
1.11146e-02 1.68631e+00 -1.05751e-03
1.11146e-02 1.77124e+00 -1.13509e-03
1.11146e-02 1.85738e+00 -7.43725e-04
1.11146e-02 1.94463e+00 -3.46860e-04
1.11146e-02 2.03292e+00 -2.76200e-04
1.11146e-02 2.12215e+00 -3.49950e-04
1.11146e-02 2.21224e+00 -2.95059e-04
1.11146e-02 2.30309e+00 -1.40229e-04
1.11146e-02 2.39463e+00 -5.05396e-05
1.11146e-02 2.48676e+00 -4.78059e-05
1.11146e-02 2.57939e+00 -4.92609e-05
1.11146e-02 2.67243e+00 -2.56689e-05
1.11146e-02 2.76579e+00 -5.41374e-06
1.11146e-02 2.85938e+00 -1.53782e-06
1.11146e-02 2.95311e+00 -2.78922e-06
1.11146e-02 3.04689e+00 -1.81907e-06
1.11146e-02 3.14062e+00 -3.21647e-07
1.11146e-02 3.23421e+00 8.62331e-08
1.11146e-02 3.32757e+00 -3.72191e-09
1.11146e-02 3.42061e+00 -3.27262e-08
1.11146e-02 3.51324e+00 -6.62961e-09
1.11146e-02 3.60537e+00 3.30216e-09
