2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 5.07780e-16
8.58820e-04 4.52415e-03 -1.11940e-17
8.58820e-04 1.11146e-02 3.76120e-17
8.58820e-04 2.06252e-02 -2.49850e-17
8.58820e-04 3.30468e-02 4.48970e-18
8.58820e-04 4.83674e-02 3.20619e-18
8.58820e-04 6.65719e-02 -4.09458e-18
8.58820e-04 8.76427e-02 8.28031e-19
8.58820e-04 1.11559e-01 8.75442e-19
8.58820e-04 1.38298e-01 -8.42223e-19
8.58820e-04 1.67832e-01 -2.05745e-18
8.58820e-04 2.00134e-01 -1.71252e-18
8.58820e-04 2.35172e-01 2.53070e-18
8.58820e-04 2.72911e-01 -2.44050e-19
8.58820e-04 3.13315e-01 1.42043e-18
8.58820e-04 3.56344e-01 -2.10647e-19
8.58820e-04 4.01956e-01 7.33968e-20
8.58820e-04 4.50106e-01 5.18899e-19
8.58820e-04 5.00748e-01 -4.92741e-19
8.58820e-04 5.53832e-01 3.50946e-19
8.58820e-04 6.09306e-01 -2.19592e-19
8.58820e-04 6.67116e-01 4.29715e-18
8.58820e-04 7.27206e-01 -1.29580e-18
8.58820e-04 7.89516e-01 -7.83338e-20
8.58820e-04 8.53986e-01 -5.79981e-19
8.58820e-04 9.20552e-01 -4.99492e-18
8.58820e-04 9.89151e-01 8.05633e-18
8.58820e-04 1.05971e+00 -6.55497e-18
8.58820e-04 1.13217e+00 4.26809e-18
8.58820e-04 1.20646e+00 1.96346e-17
8.58820e-04 1.28249e+00 5.97326e-18
8.58820e-04 1.36021e+00 1.02102e-17
8.58820e-04 1.43953e+00 -4.40160e-18
8.58820e-04 1.52037e+00 -1.06397e-17
8.58820e-04 1.60266e+00 2.03527e-17
8.58820e-04 1.68631e+00 1.80968e-17
8.58820e-04 1.77124e+00 4.58100e-18
8.58820e-04 1.85738e+00 1.20227e-17
8.58820e-04 1.94463e+00 1.54362e-17
8.58820e-04 2.03292e+00 -8.69393e-18
8.58820e-04 2.12215e+00 5.25288e-18
8.58820e-04 2.21224e+00 -4.63273e-18
8.58820e-04 2.30309e+00 1.94809e-18
8.58820e-04 2.39463e+00 3.92497e-18
8.58820e-04 2.48676e+00 -4.55259e-19
8.58820e-04 2.57939e+00 -3.66348e-18
8.58820e-04 2.67243e+00 -9.02016e-20
8.58820e-04 2.76579e+00 1.67216e-19
8.58820e-04 2.85938e+00 -1.03579e-18
8.58820e-04 2.95311e+00 4.69433e-19
8.58820e-04 3.04689e+00 -2.07021e-19
8.58820e-04 3.14062e+00 5.37693e-20
8.58820e-04 3.23421e+00 -9.44948e-22
8.58820e-04 3.32757e+00 -9.10778e-23
8.58820e-04 3.42061e+00 3.94946e-22
8.58820e-04 3.51324e+00 3.10598e-22
8.58820e-04 3.60537e+00 -2.03041e-23
8.58820e-04 3.69691e+00 2.05373e-24
8.58820e-04 3.78776e+00 -1.81383e-24
8.58820e-04 3.87785e+00 1.87979e-24
8.58820e-04 3.96708e+00 1.35888e-24
8.58820e-04 4.05537e+00 9.94770e-26
8.58820e-04 4.14262e+00 -1.43717e-24
8.58820e-04 4.22876e+00 -6.14343e-24
8.58820e-04 4.31369e+00 -9.23517e-24
8.58820e-04 4.39734e+00 -1.68560e-23
8.58820e-04 4.47963e+00 2.39229e-24
8.58820e-04 4.56047e+00 -8.80046e-24
4.52415e-03 8.58820e-04 -1.11940e-17
4.52415e-03 4.52415e-03 -1.94471e-17
4.52415e-03 1.11146e-02 -5.75968e-17
4.52415e-03 2.06252e-02 1.65368e-17
4.52415e-03 3.30468e-02 -1.36883e-17
4.52415e-03 4.83674e-02 -4.04799e-18
4.52415e-03 6.65719e-02 7.43717e-18
4.52415e-03 8.76427e-02 7.22679e-18
4.52415e-03 1.11559e-01 -3.27702e-19
4.52415e-03 1.38298e-01 -2.76482e-19
4.52415e-03 1.67832e-01 -7.77630e-19
4.52415e-03 2.00134e-01 -1.42906e-18
4.52415e-03 2.35172e-01 -2.07412e-18
4.52415e-03 2.72911e-01 1.32576e-18
4.52415e-03 3.13315e-01 1.29525e-18
4.52415e-03 3.56344e-01 -4.96211e-19
4.52415e-03 4.01956e-01 2.45387e-18
4.52415e-03 4.50106e-01 2.60807e-18
4.52415e-03 5.00748e-01 1.95299e-18
4.52415e-03 5.53832e-01 7.36984e-19
4.52415e-03 6.09306e-01 8.43025e-19
4.52415e-03 6.67116e-01 2.09191e-18
4.52415e-03 7.27206e-01 1.43253e-18
4.52415e-03 7.89516e-01 3.57529e-20
4.52415e-03 8.53986e-01 1.39785e-18
4.52415e-03 9.20552e-01 -1.56017e-18
4.52415e-03 9.89151e-01 8.59267e-18
4.52415e-03 1.05971e+00 -3.94337e-18
4.52415e-03 1.13217e+00 2.42558e-18
4.52415e-03 1.20646e+00 7.27872e-18
4.52415e-03 1.28249e+00 -3.24185e-18
4.52415e-03 1.36021e+00 9.00951e-18
4.52415e-03 1.43953e+00 -1.93970e-18
4.52415e-03 1.52037e+00 -8.11082e-18
4.52415e-03 1.60266e+00 -1.29234e-17
4.52415e-03 1.68631e+00 -1.25096e-17
4.52415e-03 1.77124e+00 -1.68535e-17
4.52415e-03 1.85738e+00 2.75697e-17
4.52415e-03 1.94463e+00 1.32963e-18
4.52415e-03 2.03292e+00 7.02347e-18
4.52415e-03 2.12215e+00 8.72257e-18
4.52415e-03 2.21224e+00 -2.83188e-18
4.52415e-03 2.30309e+00 -1.12049e-17
4.52415e-03 2.39463e+00 3.79473e-18
4.52415e-03 2.48676e+00 -2.16858e-20
4.52415e-03 2.57939e+00 -1.13136e-18
4.52415e-03 2.67243e+00 -8.70621e-19
4.52415e-03 2.76579e+00 -7.40250e-20
4.52415e-03 2.85938e+00 -6.58023e-19
4.52415e-03 2.95311e+00 1.14021e-20
4.52415e-03 3.04689e+00 8.55434e-20
4.52415e-03 3.14062e+00 1.01573e-19
4.52415e-03 3.23421e+00 -3.17154e-21
4.52415e-03 3.32757e+00 -5.15734e-21
4.52415e-03 3.42061e+00 2.91980e-22
4.52415e-03 3.51324e+00 -4.41421e-23
4.52415e-03 3.60537e+00 -4.09849e-23
4.52415e-03 3.69691e+00 -1.59433e-24
4.52415e-03 3.78776e+00 -1.35311e-24
4.52415e-03 3.87785e+00 3.26998e-24
4.52415e-03 3.96708e+00 -2.14079e-24
4.52415e-03 4.05537e+00 -3.89962e-25
4.52415e-03 4.14262e+00 3.11178e-25
4.52415e-03 4.22876e+00 -1.55509e-24
4.52415e-03 4.31369e+00 -1.59242e-23
4.52415e-03 4.39734e+00 -2.42513e-23
4.52415e-03 4.47963e+00 -6.45138e-24
4.52415e-03 4.56047e+00 -9.98686e-24
1.11146e-02 8.58820e-04 3.76120e-17
1.11146e-02 4.52415e-03 -5.75968e-17
1.11146e-02 1.11146e-02 -1.85848e-17
1.11146e-02 2.06252e-02 9.18535e-18
1.11146e-02 3.30468e-02 -3.10683e-18
1.11146e-02 4.83674e-02 6.47312e-18
1.11146e-02 6.65719e-02 5.27130e-19
1.11146e-02 8.76427e-02 3.17639e-18
1.11146e-02 1.11559e-01 2.50835e-18
1.11146e-02 1.38298e-01 -8.05622e-19
1.11146e-02 1.67832e-01 1.10537e-18
1.11146e-02 2.00134e-01 2.26567e-18
1.11146e-02 2.35172e-01 4.15059e-19
1.11146e-02 2.72911e-01 -8.09006e-19
1.11146e-02 3.13315e-01 -9.26312e-19
1.11146e-02 3.56344e-01 2.05435e-18
1.11146e-02 4.01956e-01 -2.22400e-20
1.11146e-02 4.50106e-01 -1.96084e-18
1.11146e-02 5.00748e-01 -5.56830e-19
1.11146e-02 5.53832e-01 -3.05389e-18
